iter	Passed	Remaining
0	151	151178
1	153	76643
2	157	52323
3	160	39968
4	164	32762
5	167	27798
6	171	24323
7	175	21705
8	179	19724
9	182	18059
10	186	16724
11	189	15566
12	192	14614
13	194	13729
14	197	12989
15	199	12296
16	201	11676
17	204	11154
18	206	10677
19	208	10234
20	211	9881
21	215	9562
22	217	9246
23	220	8960
24	222	8685
25	225	8449
26	228	8217
27	230	7984
28	232	7771
29	234	7584
30	236	7386
31	237	7198
32	239	7031
33	242	6876
34	243	6716
35	245	6566
36	247	6450
37	249	6323
38	251	6192
39	253	6076
40	255	5967
41	257	5863
42	258	5756
43	260	5657
44	262	5574
45	264	5484
46	267	5418
47	269	5340
48	271	5265
49	272	5180
50	274	5107
51	276	5039
52	278	4971
53	279	4904
54	281	4836
55	283	4776
56	285	4721
57	286	4660
58	288	4599
59	290	4544
60	292	4500
61	293	4446
62	295	4394
63	297	4348
64	299	4306
65	300	4258
66	302	4213
67	304	4176
68	307	4143
69	308	4102
70	310	4061
71	312	4028
72	314	3992
73	315	3951
74	317	3911
75	318	3876
76	321	3848
77	322	3814
78	324	3778
79	325	3743
80	327	3714
81	329	3688
82	330	3648
83	331	3615
84	333	3585
85	335	3563
86	336	3536
87	338	3508
88	339	3480
89	342	3460
90	344	3436
91	345	3410
92	347	3388
93	349	3370
94	351	3346
95	353	3324
96	354	3303
97	357	3290
98	359	3269
99	360	3247
100	362	3225
101	365	3213
102	366	3194
103	368	3173
104	369	3151
105	371	3136
106	373	3120
107	375	3101
108	377	3081
109	380	3079
110	382	3062
111	384	3046
112	387	3041
113	389	3027
114	391	3012
115	394	3007
116	396	2989
117	397	2973
118	399	2957
119	401	2945
120	403	2931
121	404	2912
122	406	2896
123	407	2881
124	410	2870
125	411	2855
126	412	2837
127	414	2821
128	416	2809
129	418	2798
130	420	2787
131	422	2775
132	425	2771
133	426	2758
134	428	2743
135	429	2729
136	431	2719
137	433	2708
138	435	2695
139	436	2681
140	438	2672
141	440	2659
142	441	2647
143	443	2635
144	445	2625
145	447	2618
146	449	2606
147	450	2593
148	451	2580
149	454	2572
150	457	2574
151	460	2566
152	462	2560
153	463	2548
154	466	2541
155	469	2538
156	470	2526
157	472	2516
158	474	2507
159	475	2498
160	477	2488
161	479	2479
162	480	2469
163	482	2458
164	484	2451
165	486	2443
166	487	2433
167	489	2423
168	491	2418
169	493	2411
170	495	2401
171	497	2393
172	500	2390
173	502	2383
174	503	2375
175	506	2370
176	508	2363
177	509	2354
178	511	2345
179	513	2338
180	515	2333
181	517	2325
182	518	2316
183	520	2308
184	522	2302
185	524	2296
186	526	2288
187	528	2281
188	532	2283
189	534	2278
190	536	2271
191	538	2266
192	541	2262
193	542	2255
194	544	2249
195	547	2244
196	549	2238
197	551	2234
198	553	2228
199	555	2223
200	557	2216
201	560	2213
202	562	2207
203	563	2199
204	565	2191
205	567	2186
206	569	2181
207	570	2173
208	572	2166
209	574	2160
210	576	2156
211	578	2148
212	579	2141
213	581	2134
214	583	2129
215	584	2122
216	586	2115
217	587	2108
218	589	2101
219	591	2096
220	592	2089
221	594	2083
222	596	2077
223	598	2074
224	600	2067
225	601	2060
226	602	2053
227	605	2051
228	607	2046
229	609	2040
230	610	2033
231	612	2028
232	614	2023
233	616	2017
234	618	2012
235	620	2008
236	622	2004
237	624	1998
238	625	1992
239	627	1988
240	629	1983
241	631	1977
242	634	1975
243	636	1972
244	638	1966
245	640	1961
246	642	1957
247	644	1954
248	646	1949
249	648	1945
250	651	1943
251	653	1939
252	655	1934
253	656	1929
254	659	1926
255	661	1921
256	662	1915
257	664	1910
258	666	1906
259	667	1900
260	669	1894
261	670	1889
262	672	1885
263	674	1880
264	676	1875
265	677	1869
266	679	1865
267	681	1861
268	683	1856
269	684	1850
270	685	1845
271	687	1841
272	690	1837
273	691	1831
274	692	1826
275	694	1821
276	696	1817
277	697	1812
278	699	1807
279	700	1801
280	702	1797
281	704	1793
282	706	1788
283	707	1783
284	709	1778
285	711	1775
286	712	1770
287	713	1765
288	715	1760
289	716	1755
290	719	1752
291	720	1747
292	722	1742
293	723	1737
294	725	1733
295	727	1729
296	728	1724
297	730	1720
298	732	1716
299	734	1713
300	735	1708
301	737	1703
302	738	1699
303	740	1694
304	742	1691
305	743	1686
306	745	1681
307	746	1676
308	748	1673
309	750	1669
310	751	1664
311	752	1660
312	754	1655
313	756	1652
314	758	1648
315	759	1643
316	761	1639
317	763	1637
318	765	1634
319	767	1630
320	768	1626
321	770	1622
322	772	1619
323	773	1614
324	775	1611
325	777	1607
326	779	1604
327	781	1600
328	782	1596
329	784	1591
330	785	1588
331	787	1585
332	789	1580
333	790	1576
334	792	1572
335	794	1569
336	796	1566
337	797	1562
338	798	1557
339	800	1553
340	802	1550
341	803	1546
342	805	1543
343	806	1538
344	809	1536
345	811	1533
346	812	1528
347	813	1524
348	815	1520
349	817	1518
350	818	1514
351	820	1510
352	822	1506
353	823	1503
354	825	1500
355	827	1497
356	829	1494
357	831	1491
358	834	1489
359	835	1485
360	837	1482
361	839	1479
362	841	1476
363	842	1472
364	844	1468
365	845	1464
366	847	1462
367	849	1458
368	850	1454
369	852	1450
370	853	1447
371	855	1444
372	857	1441
373	858	1437
374	860	1434
375	863	1432
376	864	1429
377	866	1425
378	867	1421
379	869	1419
380	871	1416
381	873	1412
382	874	1408
